,name,team,element_type,selected_by_percent,now_cost,minutes,total_points,goals_scored,assists,clean_sheets,bonus,position
242,Luka Milivojevic,Crystal Palace,3,0.3,4.2,500,23,0,0,2,0,Midfielder
243,Jordan Ayew,Crystal Palace,3,0.4,5.2,2355,93,4,2,7,4,Midfielder
244,Wilfried Zaha,Crystal Palace,3,6.8,7.2,2149,93,7,2,5,6,Midfielder
245,Jeffrey Schlupp,Crystal Palace,3,0.1,4.7,2455,88,3,2,9,2,Midfielder
246,Will Hughes,Crystal Palace,3,0.0,4.8,551,25,0,1,0,0,Midfielder
247,Jairo Riedewald,Crystal Palace,3,0.0,4.2,46,4,0,0,0,0,Midfielder
248,Joachim Andersen,Crystal Palace,2,1.5,4.5,2422,70,1,0,7,1,Defender
249,Odsonne Edouard,Crystal Palace,4,2.0,5.0,1598,70,4,2,5,3,Forward
250,Marc Guéhi,Crystal Palace,2,2.4,4.5,2970,84,1,0,8,2,Defender
251,Jean-Philippe Mateta,Crystal Palace,4,0.4,5.1,715,39,2,0,3,3,Forward
252,Eberechi Eze,Crystal Palace,3,5.8,5.5,2271,134,8,4,8,18,Midfielder
253,Tyrick Mitchell,Crystal Palace,2,0.9,4.4,2529,80,0,2,7,5,Defender
254,Michael Olise,Crystal Palace,3,2.0,5.4,2384,116,2,9,7,14,Midfielder
255,Jesurun Rak-Sakyi,Crystal Palace,3,0.0,4.5,0,0,0,0,0,0,Midfielder
256,Malcolm Ebiowei,Crystal Palace,3,0.2,4.2,31,3,0,0,0,0,Midfielder
257,Nathan Ferguson,Crystal Palace,2,0.2,3.9,0,0,0,0,0,0,Defender
258,Sam Johnstone,Crystal Palace,1,1.0,4.4,450,24,0,0,2,5,Goalkeeper
259,Remi Matthews,Crystal Palace,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
260,Luke Plange,Crystal Palace,4,0.2,4.5,0,0,0,0,0,0,Forward
261,Cheick Doucouré,Crystal Palace,3,0.1,5.0,2443,65,0,3,6,3,Midfielder
262,Chris Richards,Crystal Palace,2,0.1,4.4,443,13,0,0,1,0,Defender
263,Joseph Whitworth,Crystal Palace,1,0.1,4.0,180,3,0,0,0,0,Goalkeeper
264,Kaden Rodney,Crystal Palace,3,0.0,4.5,0,0,0,0,0,0,Midfielder
265,Killian Phillips,Crystal Palace,3,0.0,4.5,0,0,0,0,0,0,Midfielder
266,John-Kymani Gordon,Crystal Palace,4,0.1,4.5,0,0,0,0,0,0,Forward
267,Kofi Balmer,Crystal Palace,2,0.1,4.0,0,0,0,0,0,0,Defender
268,Owen Goodman,Crystal Palace,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
269,Jack Wells-Morrison,Crystal Palace,3,0.0,4.5,0,0,0,0,0,0,Midfielder
270,David Ozoh,Crystal Palace,3,0.0,4.5,1,1,0,0,0,0,Midfielder
271,Naouirou Ahamada,Crystal Palace,3,0.0,4.5,86,6,0,0,0,0,Midfielder
272,Neal Maupay,Everton,4,0.5,5.6,1048,38,1,0,3,3,Forward
273,Asmir Begović,Everton,1,0.8,3.9,90,9,0,0,1,2,Goalkeeper
274,Salomón Rondón,Everton,4,0.3,4.9,103,7,0,0,0,0,Forward
275,Seamus Coleman,Everton,2,0.4,4.2,1654,63,1,0,5,5,Defender
276,Andros Townsend,Everton,3,0.0,5.4,0,0,0,0,0,0,Midfielder
277,Michael Keane,Everton,2,0.5,4.2,922,32,1,1,2,3,Defender
278,Dele Alli,Everton,3,0.1,5.3,38,2,0,0,0,0,Midfielder
279,Jordan Pickford,Everton,1,5.6,4.4,2970,112,0,1,7,10,Goalkeeper
280,Allan Marques Loureiro,Everton,3,0.1,4.8,0,0,0,0,0,0,Midfielder
281,André Tavares Gomes,Everton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
282,Abdoulaye Doucouré,Everton,3,0.1,5.3,1167,48,2,2,3,5,Midfielder
283,Alex Iwobi,Everton,3,0.8,4.9,3019,114,2,7,8,9,Midfielder
284,Jean-Philippe Gbamin,Everton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
285,Yerry Mina,Everton,2,0.1,4.3,234,13,1,0,0,3,Defender
286,Demarai Gray,Everton,3,0.6,5.2,2356,86,4,1,6,4,Midfielder
287,Tom Davies,Everton,3,0.0,4.9,524,19,0,0,1,0,Midfielder
288,Dominic Calvert-Lewin,Everton,4,0.3,7.9,990,34,2,0,4,2,Forward
289,Mason Holgate,Everton,2,0.1,4.2,443,15,0,0,2,2,Defender
290,Ben Godfrey,Everton,2,0.1,4.3,801,18,0,1,1,0,Defender
291,Vitalii Mykolenko,Everton,2,0.7,4.1,2563,73,0,1,7,4,Defender
292,Jarrad Branthwaite,Everton,2,0.0,4.0,0,0,0,0,0,0,Defender
293,Nathan Patterson,Everton,2,2.2,3.9,1066,27,0,0,2,0,Defender
294,Niels Nkounkou,Everton,2,0.2,4.0,0,0,0,0,0,0,Defender
295,James Tarkowski,Everton,2,3.7,4.1,3060,93,1,1,8,11,Defender
296,Conor Coady,Everton,2,3.2,4.7,1970,70,1,1,6,5,Defender
297,Rúben Nascimento Vinagre,Everton,2,0.0,4.3,24,2,0,0,0,0,Defender
298,Dwight McNeil,Everton,3,0.2,5.1,2130,98,5,3,4,11,Midfielder
299,Stanley Mills,Everton,3,0.0,4.3,0,0,0,0,0,0,Midfielder
300,Lewis Warrington,Everton,3,0.1,4.4,0,0,0,0,0,0,Midfielder
